	Row	Anon Student Id	Problem Hierarchy	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	Step Duration (sec)	Correct Step Duration (sec)	Error Step Duration (sec)	Correct First Attempt	Incorrects	Hints	Corrects	KC(Default)	Opportunity(Default)
586267	781641	Qwq8d0du28	Unit CTA1_04, Section CTA1_04-2	BH1T10	1	R6C2	2005-10-18 09:48:15.0	2005-10-18 09:48:31.0	2005-10-18 09:48:31.0	2005-10-18 09:48:31.0	16.0	16.0		1	0	0	1	Entering a given	124
670893	895980	XUwJ9E07Zd	Unit CTA1_14, Section CTA1_14-2	1PTB07	1	R7C1	2006-03-03 09:50:46.0	2006-03-03 09:50:49.0	2006-03-03 09:50:49.0	2006-03-03 09:50:49.0	3.0	3.0		1	0	0	1	Using simple numbers~~Using large numbers~~Find X, positive slope	17~~10~~3
156217	208610	LM96hW22T2	Unit ES_03, Section ES_03-2	EG46A	3	row1-N-constant factors	2006-02-22 14:16:39.0	2006-02-22 14:16:42.0	2006-02-22 14:16:42.0	2006-02-22 14:16:42.0	3.0	3.0		1	0	0	1		
127654	170552	39Uc7ru04l	Unit ES_02, Section ES_02-1	EG31	2	-3*-14	2005-11-04 11:33:00.0	2005-11-04 11:33:03.0	2005-11-04 11:33:03.0	2005-11-04 11:33:03.0	3.0	3.0		1	0	0	1		
468825	625000	8gH5u019ZH	Unit ES_03, Section ES_03-5	EG51A	1	29.5y-38.3+38.8y = 16.1	2006-02-07 10:55:45.0	2006-02-07 10:56:02.0	2006-02-07 10:56:02.0	2006-02-07 10:56:02.0	17.0	17.0		1	0	0	1	[SkillRule: Consolidate vars with coeff; CLT]	90
726519	969579	Vu26QoCms4	Unit ES_02, Section ES_02-3	EG35B	1	x = -12*-34	2006-02-24 09:53:09.0	2006-02-24 09:53:12.0	2006-02-24 09:53:12.0	2006-02-24 09:53:12.0	3.0	3.0		1	0	0	1		
44822	61676	y8BlGe62E7	Unit CTA1_12, Section CTA1_12-3	SYSFB02	1	R2C3	2006-02-09 12:28:33.0	2006-02-09 12:28:39.0	2006-02-09 12:28:39.0	2006-02-09 12:28:39.0	6.0	6.0		1	0	0	1	Identifying units	73
734255	980042	merKN5i5Of	Unit ES_02, Section ES_02-7	EG41	5	y/-10*-10 = -2*-10	2006-02-21 13:48:26.0	2006-02-21 13:48:33.0	2006-02-21 13:48:33.0	2006-02-21 13:48:33.0	7.0	7.0		1	0	0	1		
375302	500439	5yasLi1Avt	Unit CTA1_12, Section CTA1_12-3	SYSFB12	3	yMin	2006-04-11 13:44:39.0	2006-04-11 13:44:49.0	2006-04-11 13:44:49.0	2006-04-11 13:44:49.0	10.0	10.0		1	0	0	1	Changing axis bounds	199
19712	26981	8rsfNQdio8	Unit ES_06, Section ES_06-1	EG63	2	75.45x-4248.5895+88.27 = 69.22-27.89x*(-21/(27x)-80.82)	2006-02-15 09:17:08.0	2006-02-15 09:17:11.0	2006-02-15 09:17:11.0	2006-02-15 09:17:11.0	3.0	3.0		1	0	0	1	[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]	11
505828	673531	UmsZ3gHcg7	Unit CTA1_12, Section CTA1_12-3	SYSFB12	1	R3C1	2006-05-26 10:48:33.0	2006-05-26 10:48:38.0	2006-05-26 10:48:38.0	2006-05-26 10:48:38.0	5.0	5.0		1	0	0	1	Define Variable	130
154534	206473	LM96hW22T2	Unit ES_02, Section ES_02-4	EG35B	3	x = -36(-7-12)	2005-12-16 08:50:28.0	2005-12-16 08:50:31.0	2005-12-16 08:50:33.0	2005-12-16 08:50:33.0	5.0		5.0	0	0	2	1	[SkillRule: Select Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; Distribute subex}]	62
629367	839623	tLgc420s9N	Unit CTA1_10, Section CTA1_10-2	DIST10_SP	1	R2C1	2006-05-18 10:17:56.0	2006-05-18 10:18:20.0	2006-05-18 10:18:20.0	2006-05-18 10:18:20.0	24.0	24.0		1	0	0	1	Identifying units	41
393380	524483	7YX78oEdjZ	Unit CTA1_02, Section CTA1_02-2	NEWS01C	1	R3C2	2006-01-05 10:18:24.0	2006-01-05 10:18:29.0	2006-01-05 10:18:29.0	2006-01-05 10:18:29.0	5.0	5.0		1	0	0	1	Using simple numbers~~Using small numbers~~Write expression, positive slope	121~~66~~27
660456	881762	0u17bw7v7w	Unit QUAD-ADD-AREA-ALG1, Section QUAD-ADD-AREA-ALG1-1	NEWSQUARE7TRE	1	R6C2	2006-05-16 09:32:34.0	2006-05-16 09:32:43.0	2006-05-16 09:32:43.0	2006-05-16 09:32:43.0	9.0	9.0		1	0	0	1		
763610	1019580	233EMC2k7k	Unit ES_04, Section ES_04-12	EG58A	1	FinalAnswer	2006-05-05 08:45:30.0	2006-05-05 08:46:56.0	2006-05-05 08:49:20.0	2006-05-05 08:58:21.0	379.001		379.001	0	10	3	7	distribute-sp~~simplify-fractions-sp~~combine-like-terms-sp~~perform-mult-sp	1~~23~~23~~5
31769	43621	iyLqACAFyl	Unit CTA1_25, Section CTA1_25-1	DEC07	1	yMin	2006-04-05 12:43:21.0	2006-04-05 12:43:30.0	2006-04-05 12:43:30.0	2006-04-05 12:43:30.0	9.0	9.0		1	0	0	1	Changing axis bounds	91
67264	90223	6Ax4SKe470	Unit CTA1_21, Section CTA1_21-2	FEB12	1	R3C2	2006-05-03 14:19:16.0	2006-05-03 14:19:38.0	2006-05-03 14:20:55.0	2006-05-03 14:20:55.0	99.0		99.0	0	6	7	1	Using small numbers~~Write expression, positive slope~~Using difficult numbers	300~~84~~163
550397	733775	80nlN05JQ6	Unit CTA1_15, Section CTA1_15-3	SYSFB10	1	R1C1	2006-04-12 10:18:54.0	2006-04-12 10:19:14.0	2006-04-12 10:19:14.0	2006-04-12 10:19:14.0	20.0	20.0		1	0	0	1		
544231	725497	4X3016rdOZ	Unit CTA1_12, Section CTA1_12-3	SYSFB21	1	yScale	2006-02-06 11:17:22.0	2006-02-06 11:17:24.0	2006-02-06 11:17:24.0	2006-02-06 11:17:24.0	2.0	2.0		1	0	0	1	Changing axis intervals	143
238488	318455	yB480DNZ70	Unit CTA1_12, Section CTA1_12-3	SYSFB12	1	xMax	2006-03-31 10:14:24.0	2006-03-31 10:14:53.0		2006-03-31 10:14:58.0	34.0		34.0	0	0	2	0	Changing axis bounds	184
272290	363555	88Uhb8760x	Unit ES_02, Section ES_02-4	EG34A	1	(44-38)*-37 = y	2005-10-14 07:50:47.0	2005-10-14 07:50:51.0	2005-10-14 07:50:51.0	2005-10-14 07:50:51.0	4.0	4.0		1	0	0	1	[SkillRule: Select Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; Distribute subex}]	29
230036	307492	y5009rpZ12	Unit CTA1_06, Section CTA1_06-2	JAN03	1	xMax	2005-10-17 08:48:06.0	2005-10-17 08:48:11.0	2005-10-17 08:48:11.0	2005-10-17 08:48:11.0	5.0	5.0		1	0	0	1	Changing axis bounds	49
467022	622310	5VZLSGPT10	Unit ES_07, Section ES_07-4	LIT67A	1	INNERw1	2006-04-27 10:33:47.0	2006-04-27 10:33:55.0	2006-04-27 10:33:55.0	2006-04-27 10:33:55.0	8.0	8.0		1	0	0	1		
388483	518403	78t79xOebG	Unit QUAD-ADD-AREA-ALG1, Section QUAD-ADD-AREA-ALG1-1	NEWSQUARE1TRE	1	R2C1	2006-05-18 14:24:00.0	2006-05-18 14:24:07.0	2006-05-18 14:24:07.0	2006-05-18 14:24:07.0	7.0	7.0		1	0	0	1	Identifying units	280
169037	226354	075kbY53c1	Unit CTA1_08, Section CTA1_08-2	BH1T04	1	Formula 1 Coeff 0	2006-02-24 09:44:57.0	2006-02-24 09:45:15.0	2006-02-24 09:45:15.0	2006-02-24 09:45:15.0	18.0	18.0		1	0	0	1	Setting the y-intercept	8
71859	96406	7oiAa7MlW2	Unit CTA1_14, Section CTA1_14-2	DEC05	1	R2C1	2005-12-07 13:49:33.0	2005-12-07 13:49:36.0	2005-12-07 13:49:36.0	2005-12-07 13:49:36.0	3.0	3.0		1	0	0	1	Identifying units	69
